id,skills,location,certification,education,skill_level,work_preference,experience
47,nursing,Philadelphia,BLS NRP,Doctorate,intermediate,day shift,11
48,nursing,Philadelphia,ACLS,Doctorate,entry-level,day shift,19
49,nursing,Philadelphia,CPR NRP ACLS,Doctorate,advanced,part-time,23
50,nursing,New York,NRP ACLS BLS PALS,Doctorate,intermediate,day shift,2
51,nursing,Chicago,BLS NRP,Doctorate,intermediate,day shift,10
52,nursing,Philadelphia,ACLS PALS,Doctorate,advanced,part-time,29
53,nursing,Chicago,CPR BLS NRP PALS,Doctorate,intermediate,part-time,23
54,nursing,Philadelphia,BLS,Doctorate,entry-level,part-time,9
55,nursing,New York,NRP,Doctorate,entry-level,night shift,13
56,nursing,Houston,NRP PALS CPR BLS ACLS,Doctorate,intermediate,part-time,17
57,nursing,Philadelphia,ACLS NRP BLS,Doctorate,advanced,night shift,6
58,nursing,New York,BLS CPR,Doctorate,intermediate,night shift,28
59,nursing,Philadelphia,BLS NRP ACLS CPR,Doctorate,intermediate,day shift,30
60,nursing,Philadelphia,NRP CPR,Doctorate,intermediate,night shift,6
61,nursing,New York,CPR PALS ACLS,Doctorate,advanced,full-time,28
62,nursing,Chicago,CPR,Doctorate,entry-level,day shift,27
63,nursing,Houston,CPR BLS NRP,Doctorate,advanced,part-time,16
64,nursing,Philadelphia,CPR NRP PALS,Doctorate,advanced,full-time,24
65,nursing,New York,ACLS,Doctorate,entry-level,part-time,11
66,nursing,Chicago,PALS CPR NRP ACLS BLS,Doctorate,entry-level,day shift,19
67,nursing,Chicago,ACLS NRP CPR BLS PALS,Doctorate,advanced,day shift,18
68,nursing,Philadelphia,ACLS BLS,Doctorate,intermediate,part-time,12
69,nursing,Chicago,BLS,Doctorate,advanced,night shift,16
70,nursing,Chicago,BLS,Doctorate,advanced,night shift,16
71,nursing,Houston,BLS NRP,Doctorate,intermediate,night shift,10
72,nursing,Los Angeles,CPR BLS,Doctorate,entry-level,day shift,14
73,nursing,Los Angeles,CPR,Doctorate,advanced,night shift,24
74,nursing,Houston,ACLS,Doctorate,advanced,day shift,30
75,nursing,Los Angeles,PALS CPR NRP,Doctorate,intermediate,part-time,26
76,nursing,New York,NRP CPR,Doctorate,entry-level,night shift,9
77,nursing,Houston,CPR NRP,Doctorate,advanced,full-time,2
78,nursing,Los Angeles,NRP ACLS,Doctorate,intermediate,part-time,7
79,nursing,Philadelphia,NRP PALS CPR ACLS,Doctorate,advanced,night shift,15
80,nursing,New York,PALS NRP ACLS BLS CPR,Doctorate,advanced,full-time,2
81,nursing,Chicago,NRP CPR BLS ACLS,Doctorate,advanced,day shift,3
82,nursing,Philadelphia,NRP CPR ACLS,Doctorate,advanced,part-time,19
83,nursing,Philadelphia,CPR BLS ACLS NRP PALS,Doctorate,intermediate,night shift,18
84,nursing,Chicago,ACLS,Doctorate,intermediate,full-time,13
85,nursing,Houston,NRP BLS ACLS CPR PALS,Doctorate,intermediate,full-time,16
86,nursing,Houston,CPR ACLS,Doctorate,intermediate,full-time,22
87,nursing,Philadelphia,BLS PALS CPR NRP,Doctorate,advanced,part-time,17
88,nursing,New York,PALS CPR BLS,Doctorate,intermediate,full-time,1
89,nursing,Chicago,ACLS NRP,Doctorate,advanced,day shift,26
90,nursing,Houston,PALS NRP BLS,Doctorate,advanced,full-time,8
91,nursing,Houston,NRP ACLS BLS,Doctorate,intermediate,day shift,30
92,nursing,Philadelphia,PALS ACLS,Doctorate,advanced,day shift,27
93,nursing,Philadelphia,BLS,Doctorate,advanced,part-time,14
94,nursing,Chicago,NRP PALS BLS CPR,Doctorate,advanced,full-time,9
95,nursing,Philadelphia,PALS BLS,Doctorate,advanced,part-time,20
96,nursing,Houston,CPR PALS BLS ACLS NRP,Doctorate,intermediate,night shift,18
97,nursing,Philadelphia,CPR PALS ACLS,Doctorate,intermediate,full-time,13
98,nursing,New York,BLS NRP,Doctorate,advanced,night shift,3
99,nursing,Houston,ACLS,Doctorate,advanced,part-time,11
100,nursing,Chicago,PALS ACLS,Doctorate,advanced,day shift,19
101,nursing,Chicago,BLS CPR ACLS,Doctorate,entry-level,full-time,30
102,nursing,Philadelphia,NRP CPR ACLS PALS BLS,Doctorate,intermediate,part-time,29
103,nursing,New York,NRP CPR,Doctorate,advanced,part-time,7
104,nursing,New York,CPR,Doctorate,entry-level,night shift,22
105,nursing,Los Angeles,CPR NRP BLS ACLS,Doctorate,entry-level,night shift,4
106,nursing,Chicago,ACLS BLS CPR NRP,Doctorate,advanced,full-time,14
107,nursing,New York,BLS,Doctorate,intermediate,night shift,27
108,nursing,Los Angeles,ACLS NRP BLS,Doctorate,advanced,part-time,18
109,nursing,Houston,BLS PALS,Doctorate,advanced,part-time,30
110,nursing,Houston,BLS PALS NRP CPR,Doctorate,intermediate,day shift,30
111,nursing,New York,CPR PALS NRP ACLS BLS,Doctorate,advanced,full-time,10
112,nursing,Los Angeles,PALS BLS ACLS NRP,Doctorate,intermediate,night shift,27
113,nursing,Philadelphia,CPR ACLS,Doctorate,entry-level,full-time,15
114,nursing,Chicago,CPR,Doctorate,intermediate,part-time,20
115,nursing,Los Angeles,NRP PALS,Doctorate,advanced,part-time,24
116,nursing,New York,NRP CPR,Doctorate,intermediate,day shift,18
117,nursing,Los Angeles,PALS ACLS BLS,Doctorate,entry-level,full-time,19
118,nursing,Houston,NRP BLS PALS CPR ACLS,Doctorate,entry-level,part-time,14
119,nursing,Philadelphia,PALS BLS ACLS,Doctorate,advanced,part-time,20
120,nursing,Los Angeles,NRP PALS BLS,Doctorate,intermediate,night shift,19
121,nursing,Chicago,BLS,Doctorate,entry-level,full-time,26
122,nursing,Los Angeles,CPR,Doctorate,advanced,part-time,19
123,nursing,Houston,NRP CPR BLS ACLS PALS,Doctorate,advanced,day shift,10
124,nursing,Philadelphia,PALS NRP CPR,Doctorate,entry-level,day shift,18
125,nursing,Chicago,CPR,Doctorate,entry-level,part-time,14
126,nursing,Houston,NRP PALS CPR BLS,Doctorate,entry-level,day shift,28
127,nursing,Philadelphia,BLS,Doctorate,intermediate,full-time,12
128,nursing,New York,BLS NRP PALS CPR,Doctorate,entry-level,day shift,13
129,nursing,Los Angeles,ACLS PALS,Doctorate,advanced,day shift,7
130,nursing,Los Angeles,PALS BLS,Doctorate,advanced,night shift,7
131,nursing,Philadelphia,NRP CPR PALS BLS,Doctorate,advanced,night shift,9
132,nursing,New York,PALS CPR BLS ACLS NRP,Doctorate,advanced,night shift,21
133,nursing,New York,NRP CPR BLS,Doctorate,entry-level,night shift,12
134,nursing,New York,NRP BLS PALS ACLS,Doctorate,entry-level,full-time,26
135,nursing,Philadelphia,PALS CPR ACLS,Doctorate,intermediate,part-time,8
136,nursing,New York,ACLS NRP CPR BLS,Doctorate,advanced,full-time,13
137,nursing,Los Angeles,BLS ACLS NRP PALS CPR,Doctorate,advanced,part-time,16
138,nursing,Philadelphia,BLS CPR ACLS NRP,Doctorate,advanced,full-time,7
139,nursing,Chicago,NRP ACLS CPR PALS BLS,Doctorate,intermediate,night shift,24
140,nursing,Chicago,PALS BLS ACLS,Doctorate,entry-level,part-time,13
141,nursing,Chicago,CPR PALS BLS,Doctorate,advanced,part-time,6
142,nursing,Houston,CPR,Doctorate,entry-level,day shift,2
143,nursing,New York,ACLS NRP PALS BLS,Doctorate,advanced,full-time,4
144,nursing,New York,NRP BLS ACLS PALS,Doctorate,advanced,full-time,1
145,nursing,Los Angeles,NRP PALS BLS,Doctorate,entry-level,full-time,5
146,nursing,Los Angeles,BLS,Doctorate,entry-level,day shift,8
147,nursing,New York,BLS PALS,Doctorate,intermediate,night shift,27
148,nursing,New York,CPR BLS ACLS PALS NRP,Doctorate,advanced,part-time,4
149,nursing,Philadelphia,NRP ACLS BLS CPR,Doctorate,entry-level,full-time,28
150,nursing,Houston,NRP BLS PALS ACLS,Doctorate,advanced,day shift,13
151,nursing,Philadelphia,NRP BLS CPR ACLS,Doctorate,entry-level,day shift,4
152,nursing,Philadelphia,ACLS PALS,Doctorate,advanced,full-time,10
153,nursing,Los Angeles,CPR PALS BLS,Doctorate,advanced,part-time,9
154,nursing,Los Angeles,NRP CPR BLS,Doctorate,entry-level,day shift,7
155,nursing,Chicago,CPR NRP PALS ACLS BLS,Doctorate,advanced,full-time,25
156,nursing,Houston,NRP BLS,Doctorate,intermediate,night shift,8
157,nursing,Chicago,BLS PALS,Doctorate,advanced,part-time,19
158,nursing,Houston,BLS PALS NRP ACLS,Doctorate,intermediate,day shift,24
159,nursing,Houston,NRP BLS,Doctorate,advanced,full-time,9
160,nursing,New York,ACLS NRP BLS,Doctorate,intermediate,day shift,29
161,nursing,Los Angeles,ACLS NRP PALS CPR,Doctorate,entry-level,night shift,12
162,nursing,Philadelphia,BLS ACLS,Doctorate,entry-level,full-time,4
163,nursing,Chicago,CPR NRP BLS PALS ACLS,Doctorate,intermediate,part-time,6
164,nursing,Houston,ACLS CPR NRP PALS,Doctorate,advanced,part-time,6
165,nursing,Houston,PALS,Doctorate,intermediate,part-time,15
166,nursing,New York,ACLS PALS NRP CPR BLS,Doctorate,entry-level,full-time,10
167,nursing,Los Angeles,ACLS,Doctorate,advanced,full-time,13
168,nursing,New York,ACLS CPR NRP BLS,Doctorate,entry-level,full-time,25
169,nursing,New York,BLS ACLS PALS CPR,Doctorate,intermediate,full-time,19
170,nursing,Philadelphia,PALS CPR,Doctorate,advanced,full-time,15
171,nursing,Philadelphia,ACLS NRP BLS CPR,Doctorate,intermediate,night shift,26
172,nursing,Chicago,BLS CPR PALS NRP,Doctorate,intermediate,day shift,14
173,nursing,New York,CPR PALS NRP,Doctorate,advanced,part-time,6
174,nursing,New York,ACLS,Doctorate,advanced,full-time,6
175,nursing,Los Angeles,CPR BLS ACLS PALS NRP,Doctorate,entry-level,day shift,11
176,nursing,Houston,BLS NRP PALS CPR ACLS,Doctorate,intermediate,full-time,6
177,nursing,Los Angeles,CPR PALS ACLS,Doctorate,advanced,full-time,20
178,nursing,Los Angeles,PALS ACLS NRP BLS CPR,Doctorate,entry-level,part-time,24
179,nursing,Houston,PALS ACLS BLS,Doctorate,intermediate,part-time,22
180,nursing,Houston,NRP CPR PALS,Doctorate,entry-level,night shift,20
181,nursing,Los Angeles,NRP,Doctorate,advanced,night shift,17
182,nursing,Houston,NRP,Doctorate,advanced,night shift,25
183,nursing,Houston,CPR BLS NRP PALS,Doctorate,entry-level,full-time,24
184,nursing,Houston,ACLS CPR,Doctorate,intermediate,part-time,26
185,nursing,New York,CPR BLS ACLS,Doctorate,advanced,full-time,24
186,nursing,New York,NRP CPR PALS ACLS,Doctorate,entry-level,day shift,1
187,nursing,Chicago,ACLS BLS CPR PALS,Doctorate,advanced,day shift,16
188,nursing,Houston,PALS,Doctorate,advanced,day shift,19
189,nursing,Philadelphia,BLS,Doctorate,advanced,full-time,2
190,nursing,Los Angeles,PALS CPR NRP ACLS BLS,Doctorate,entry-level,night shift,10
191,nursing,Los Angeles,ACLS PALS CPR,Doctorate,advanced,full-time,19
192,nursing,Los Angeles,ACLS CPR PALS,Doctorate,intermediate,full-time,2
193,nursing,Philadelphia,BLS NRP CPR PALS ACLS,Doctorate,entry-level,night shift,17
194,nursing,Philadelphia,NRP,Doctorate,intermediate,full-time,10
195,nursing,Philadelphia,NRP BLS,Doctorate,advanced,full-time,25
196,nursing,Houston,NRP BLS,Doctorate,advanced,night shift,9
197,nursing,Houston,NRP CPR BLS ACLS PALS,Doctorate,entry-level,full-time,4
198,nursing,Philadelphia,PALS BLS CPR ACLS NRP,Doctorate,entry-level,full-time,5
199,nursing,Chicago,PALS NRP CPR ACLS BLS,Doctorate,intermediate,full-time,10
200,nursing,New York,PALS BLS CPR ACLS,Doctorate,advanced,part-time,25
201,nursing,Houston,BLS NRP ACLS PALS CPR,Doctorate,advanced,part-time,30
202,nursing,Houston,BLS CPR PALS NRP,Doctorate,intermediate,day shift,8
203,nursing,Philadelphia,NRP CPR ACLS,Doctorate,advanced,night shift,1
204,nursing,Los Angeles,BLS NRP PALS CPR,Doctorate,advanced,part-time,15
205,nursing,Chicago,ACLS NRP,Doctorate,advanced,night shift,21
206,nursing,Chicago,PALS BLS ACLS,Doctorate,advanced,day shift,28
207,nursing,Houston,NRP CPR PALS ACLS BLS,Doctorate,advanced,day shift,28
208,nursing,Houston,CPR NRP,Doctorate,advanced,day shift,17
209,nursing,New York,PALS BLS,Doctorate,intermediate,full-time,20
210,nursing,Los Angeles,ACLS,Doctorate,entry-level,night shift,5
211,nursing,Chicago,PALS ACLS BLS NRP CPR,Doctorate,entry-level,part-time,16
212,nursing,Chicago,NRP BLS ACLS CPR PALS,Doctorate,intermediate,part-time,13
213,nursing,Philadelphia,ACLS BLS CPR NRP,Doctorate,advanced,full-time,3
214,nursing,Chicago,PALS,Doctorate,entry-level,night shift,2
215,nursing,Los Angeles,ACLS PALS,Doctorate,entry-level,part-time,11
216,nursing,Los Angeles,PALS BLS CPR ACLS,Doctorate,entry-level,part-time,27
217,nursing,Chicago,BLS,Doctorate,intermediate,night shift,10
218,nursing,Philadelphia,BLS,Doctorate,advanced,night shift,25
219,nursing,Philadelphia,CPR,Doctorate,intermediate,part-time,24
220,nursing,New York,BLS NRP,Doctorate,advanced,part-time,23
221,nursing,Los Angeles,BLS,Doctorate,entry-level,night shift,28
222,nursing,Chicago,NRP BLS PALS CPR,Doctorate,advanced,part-time,26
223,nursing,Los Angeles,BLS PALS NRP,Doctorate,advanced,part-time,13
224,nursing,Chicago,PALS CPR ACLS,Doctorate,entry-level,part-time,16
225,nursing,New York,NRP,Doctorate,intermediate,night shift,19
226,nursing,Chicago,BLS CPR,Doctorate,advanced,full-time,15
227,nursing,Los Angeles,BLS NRP CPR,Doctorate,advanced,part-time,15
228,nursing,Chicago,ACLS,Doctorate,advanced,full-time,29
229,nursing,Philadelphia,PALS ACLS CPR,Doctorate,intermediate,night shift,29
230,nursing,Los Angeles,PALS ACLS CPR,Doctorate,entry-level,part-time,16
231,nursing,Houston,NRP ACLS,Doctorate,entry-level,night shift,17
232,nursing,Los Angeles,PALS,Doctorate,intermediate,night shift,8
233,nursing,New York,NRP,Doctorate,intermediate,full-time,27
234,nursing,New York,CPR,Doctorate,advanced,day shift,22
235,nursing,Houston,CPR NRP BLS ACLS PALS,Doctorate,entry-level,night shift,11
236,nursing,Philadelphia,PALS BLS ACLS CPR NRP,Doctorate,intermediate,part-time,27
237,nursing,Los Angeles,NRP BLS,Doctorate,advanced,full-time,5
238,nursing,New York,CPR ACLS BLS PALS,Doctorate,entry-level,day shift,8
239,nursing,Houston,CPR BLS PALS,Doctorate,intermediate,part-time,14
240,nursing,New York,PALS,Doctorate,advanced,night shift,16
241,nursing,Los Angeles,BLS,Doctorate,advanced,full-time,10
242,nursing,Chicago,CPR ACLS NRP,Doctorate,intermediate,full-time,8
243,nursing,Chicago,CPR PALS BLS NRP ACLS,Doctorate,entry-level,night shift,12
244,nursing,Houston,PALS CPR ACLS NRP BLS,Doctorate,advanced,part-time,24
245,nursing,Los Angeles,BLS CPR NRP,Doctorate,advanced,day shift,8
246,nursing,Philadelphia,NRP ACLS PALS CPR BLS,Doctorate,intermediate,day shift,21
247,nursing,Houston,BLS ACLS PALS,Doctorate,intermediate,day shift,6
248,nursing,Houston,ACLS CPR NRP,Doctorate,intermediate,day shift,7
249,nursing,Philadelphia,CPR BLS NRP,Doctorate,advanced,full-time,19
250,nursing,Houston,CPR PALS ACLS NRP BLS,Doctorate,intermediate,full-time,24
251,nursing,Houston,ACLS PALS BLS,Doctorate,entry-level,day shift,16
252,nursing,Chicago,ACLS,Doctorate,entry-level,day shift,16
253,nursing,Philadelphia,NRP BLS PALS CPR,Doctorate,intermediate,part-time,29
254,nursing,Houston,CPR NRP PALS,Doctorate,entry-level,full-time,7
255,nursing,Houston,ACLS BLS PALS NRP,Doctorate,entry-level,night shift,1
256,nursing,New York,BLS NRP CPR PALS ACLS,Doctorate,advanced,day shift,20
257,nursing,Philadelphia,CPR BLS PALS NRP,Doctorate,advanced,full-time,3
258,nursing,Philadelphia,PALS CPR BLS,Doctorate,entry-level,night shift,30
259,nursing,Los Angeles,ACLS CPR BLS,Doctorate,advanced,part-time,7
260,nursing,Philadelphia,CPR PALS,Doctorate,advanced,day shift,18
261,nursing,Philadelphia,BLS PALS NRP CPR,Doctorate,intermediate,night shift,27
262,nursing,New York,CPR ACLS PALS NRP BLS,Doctorate,entry-level,day shift,19
263,nursing,Houston,ACLS BLS PALS,Doctorate,intermediate,part-time,5
264,nursing,Houston,NRP,Doctorate,entry-level,part-time,7
265,nursing,Philadelphia,BLS CPR PALS ACLS NRP,Doctorate,entry-level,day shift,19
266,nursing,Houston,NRP ACLS CPR BLS PALS,Doctorate,intermediate,part-time,28
267,nursing,Los Angeles,BLS,Doctorate,entry-level,night shift,30
268,nursing,Chicago,BLS,Doctorate,entry-level,part-time,26
269,nursing,New York,CPR BLS,Doctorate,intermediate,full-time,1
270,nursing,Chicago,BLS NRP ACLS CPR PALS,Doctorate,advanced,night shift,22
271,nursing,New York,ACLS,Doctorate,advanced,full-time,8
272,nursing,New York,BLS CPR ACLS,Doctorate,advanced,day shift,20
273,nursing,Los Angeles,CPR ACLS PALS,Doctorate,advanced,night shift,3
274,nursing,Philadelphia,BLS NRP,Doctorate,intermediate,night shift,6
275,nursing,Philadelphia,ACLS CPR,Doctorate,advanced,part-time,29
276,nursing,Chicago,BLS CPR PALS,Doctorate,advanced,part-time,13
277,nursing,Philadelphia,NRP ACLS,Doctorate,entry-level,day shift,1
278,nursing,Chicago,ACLS BLS CPR NRP,Doctorate,advanced,part-time,6
279,nursing,Chicago,ACLS NRP PALS CPR,Doctorate,entry-level,night shift,25
280,nursing,Philadelphia,CPR,Doctorate,entry-level,full-time,14
281,nursing,New York,BLS,Doctorate,entry-level,part-time,1
282,nursing,New York,BLS,Doctorate,advanced,full-time,16
283,nursing,Houston,PALS CPR BLS,Doctorate,entry-level,full-time,4
284,nursing,Los Angeles,ACLS BLS NRP PALS,Doctorate,advanced,full-time,17
285,nursing,Los Angeles,PALS ACLS,Doctorate,intermediate,part-time,25
286,nursing,Houston,ACLS BLS CPR,Doctorate,intermediate,night shift,17
287,nursing,Los Angeles,ACLS,Doctorate,entry-level,full-time,13
288,nursing,Chicago,CPR PALS,Doctorate,advanced,full-time,20
289,nursing,Los Angeles,CPR,Doctorate,advanced,part-time,23
290,nursing,Philadelphia,ACLS PALS CPR NRP BLS,Doctorate,entry-level,night shift,4
291,nursing,Philadelphia,ACLS PALS NRP CPR,Doctorate,entry-level,day shift,29
292,nursing,Philadelphia,NRP CPR ACLS PALS BLS,Doctorate,entry-level,part-time,29
293,nursing,Chicago,PALS,Doctorate,entry-level,night shift,28
294,nursing,Philadelphia,BLS,Doctorate,intermediate,part-time,15
295,nursing,Houston,ACLS NRP BLS CPR PALS,Doctorate,entry-level,full-time,12
296,nursing,Philadelphia,NRP,Doctorate,intermediate,day shift,24
297,nursing,Houston,PALS CPR,Doctorate,entry-level,night shift,21
298,nursing,Houston,NRP PALS ACLS CPR BLS,Doctorate,intermediate,day shift,24
299,nursing,Chicago,ACLS CPR,Doctorate,entry-level,night shift,5
300,nursing,New York,ACLS BLS,Doctorate,intermediate,day shift,27
301,nursing,Houston,BLS PALS NRP CPR,Doctorate,advanced,full-time,26
302,nursing,Los Angeles,ACLS BLS PALS NRP CPR,Doctorate,advanced,day shift,3
303,nursing,New York,NRP BLS,Doctorate,entry-level,night shift,23
304,nursing,Chicago,ACLS PALS,Doctorate,entry-level,part-time,20
305,nursing,Philadelphia,BLS NRP,Doctorate,intermediate,day shift,4
306,nursing,Los Angeles,PALS CPR NRP,Doctorate,intermediate,part-time,14
307,nursing,New York,PALS CPR BLS ACLS NRP,Doctorate,advanced,part-time,16
308,nursing,Chicago,ACLS NRP CPR BLS,Doctorate,entry-level,day shift,10
309,nursing,Chicago,CPR PALS NRP BLS,Doctorate,intermediate,day shift,3
310,nursing,Philadelphia,NRP PALS CPR BLS ACLS,Doctorate,intermediate,full-time,29
311,nursing,Philadelphia,ACLS NRP CPR,Doctorate,advanced,day shift,19
312,nursing,New York,PALS,Doctorate,entry-level,part-time,13
313,nursing,Philadelphia,BLS ACLS,Doctorate,entry-level,day shift,8
314,nursing,Houston,BLS PALS CPR NRP ACLS,Doctorate,advanced,full-time,14
315,nursing,Philadelphia,PALS BLS ACLS,Doctorate,intermediate,night shift,30
316,nursing,Los Angeles,PALS ACLS NRP,Doctorate,entry-level,part-time,20
317,nursing,Houston,BLS PALS ACLS,Doctorate,entry-level,full-time,19
318,nursing,Chicago,PALS ACLS,Doctorate,advanced,full-time,25
319,nursing,New York,CPR NRP PALS ACLS,Doctorate,entry-level,day shift,3
320,nursing,New York,NRP,Doctorate,advanced,day shift,29
321,nursing,Houston,NRP BLS,Doctorate,advanced,part-time,7
322,nursing,Philadelphia,NRP BLS CPR,Doctorate,entry-level,day shift,7
323,nursing,Houston,BLS CPR ACLS,Doctorate,entry-level,day shift,18
324,nursing,Chicago,NRP,Doctorate,entry-level,night shift,23
325,nursing,New York,PALS CPR ACLS NRP,Doctorate,advanced,part-time,28
326,nursing,Chicago,BLS CPR,Doctorate,advanced,full-time,20
327,nursing,Chicago,NRP BLS,Doctorate,entry-level,full-time,5
328,nursing,Chicago,CPR NRP,Doctorate,advanced,full-time,27
329,nursing,Los Angeles,ACLS,Doctorate,intermediate,part-time,13
330,nursing,Chicago,CPR PALS BLS ACLS NRP,Doctorate,advanced,full-time,16
331,nursing,Los Angeles,NRP PALS ACLS,Doctorate,intermediate,full-time,24
332,nursing,Philadelphia,BLS PALS NRP,Doctorate,intermediate,night shift,3
333,nursing,Houston,ACLS,Doctorate,entry-level,night shift,12
334,nursing,Chicago,ACLS CPR PALS,Doctorate,advanced,night shift,30
335,nursing,Chicago,CPR PALS BLS,Doctorate,entry-level,full-time,4
336,nursing,Chicago,CPR BLS ACLS PALS,Doctorate,entry-level,full-time,1
337,nursing,Los Angeles,NRP CPR,Doctorate,entry-level,full-time,17
338,nursing,Houston,ACLS,Doctorate,advanced,full-time,6
339,nursing,Houston,CPR ACLS PALS,Doctorate,entry-level,part-time,13
340,nursing,Philadelphia,NRP CPR BLS ACLS PALS,Doctorate,intermediate,full-time,5
341,nursing,Los Angeles,CPR PALS,Doctorate,entry-level,full-time,11
342,nursing,Chicago,CPR NRP,Doctorate,entry-level,day shift,7
343,nursing,New York,NRP ACLS BLS PALS,Doctorate,intermediate,day shift,12
344,nursing,Houston,PALS,Doctorate,entry-level,night shift,7
345,nursing,New York,ACLS BLS,Doctorate,intermediate,part-time,14
346,nursing,Philadelphia,ACLS NRP CPR,Doctorate,intermediate,part-time,6
347,nursing,Chicago,NRP,Doctorate,advanced,night shift,28
348,nursing,Houston,NRP BLS,Doctorate,advanced,full-time,7
349,nursing,Houston,BLS CPR PALS ACLS,Doctorate,advanced,day shift,9
350,nursing,Chicago,BLS CPR NRP PALS ACLS,Doctorate,entry-level,full-time,13
351,nursing,Houston,CPR PALS ACLS BLS NRP,Doctorate,advanced,part-time,5
352,nursing,Chicago,ACLS BLS PALS NRP,Doctorate,advanced,day shift,20
353,nursing,Los Angeles,CPR PALS ACLS,Doctorate,advanced,day shift,24
354,nursing,Los Angeles,ACLS,Doctorate,intermediate,day shift,29
355,nursing,Los Angeles,NRP,Doctorate,advanced,part-time,11
356,nursing,Houston,NRP,Doctorate,intermediate,full-time,25
357,nursing,Chicago,ACLS,Doctorate,entry-level,day shift,6
358,nursing,Philadelphia,ACLS,Doctorate,advanced,day shift,3
359,nursing,Chicago,NRP BLS PALS,Doctorate,intermediate,part-time,15
360,nursing,Houston,CPR ACLS NRP BLS PALS,Doctorate,intermediate,full-time,16
361,nursing,New York,CPR NRP,Doctorate,advanced,full-time,24
362,nursing,Los Angeles,NRP ACLS CPR PALS BLS,Doctorate,intermediate,night shift,29
363,nursing,Houston,BLS CPR NRP PALS ACLS,Doctorate,intermediate,full-time,21
364,nursing,Los Angeles,CPR,Doctorate,advanced,full-time,19
365,nursing,New York,CPR NRP BLS ACLS PALS,Doctorate,intermediate,part-time,20
366,nursing,Chicago,CPR PALS,Doctorate,entry-level,full-time,18
367,nursing,New York,CPR PALS ACLS,Doctorate,entry-level,full-time,3
